Date,Team,Opponent,Place,Position,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,L10 GP,L10 MIN,L10 FG%,L10 3P%,L10 FT%,L10 REB,L10 AST,L10 BLK,L10 STL,L10 PF,L10 TO,L10 PTS,VsOpp GP,VsOpp MIN,VsOpp FG%,VsOpp 3P%,VsOpp FT%,VsOpp REB,VsOpp AST,VsOpp BLK,VsOpp STL,VsOpp PF,VsOpp TO,VsOpp PTS,Place GP,Place MIN,Place FG%,Place 3P%,Place FT%,Place REB,Place AST,Place BLK,Place STL,Place PF,Place TO,Place PTS,Points O/U line,PRA O/U line,Actual Points,Actual PRA
2/23/2023,BOS,IND,Road,SF,Jayson Tatum,24,55,55,37.3,9.9,21.4,0.464,3.3,9.3,0.357,6.6,12.1,0.547,0.542,7.4,8.6,0.864,1,7.6,8.6,4.5,1,0.8,2.9,2.2,30.6,24,0.608,0.435,0.401,3.1,21.9,12.7,20.6,1.4,1.8,10.3,32.9,4.9,3.1,7.9,0.186,5,0.5,5.5,3.9,9,38.1,44.3,38.3,86.1,8.8,5.1,1,1,2.3,3.3,28.6,1,41,52,36.4,84.6,5,4,1,2,0,2,41,26,37.4,45.7,36.4,86.4,8.5,4.8,0.8,0.8,2,3.3,29.7,29.5,42.5,31,50
2/23/2023,BOS,IND,Road,SG,Jaylen Brown,26,48,48,35.6,9.9,20.2,0.487,2.5,7.6,0.331,7.3,12.6,0.582,0.549,4.3,5.5,0.779,1.2,5.8,7,3.2,1.1,0.5,3,2.7,26.5,19.2,0.585,0.377,0.27,3.7,17.7,10.8,15.6,1.5,1.1,11.8,31.6,1.2,2.3,3.5,0.099,1.6,-0.4,1.3,1.4,5,33.8,44,28.9,71.9,6.2,3,0.2,1,2.4,2.4,23.2,1,36,34.8,20,100,10,2,0,1,1,4,19,21,35.7,47.5,36.5,74.5,7.1,3.3,0.6,1.2,2.9,2.9,25.4,25.5,34.5,30,44
2/23/2023,GSW,LAL,Road,SG,Klay Thompson,32,46,46,32.8,7.7,18.3,0.421,4.2,10.6,0.398,3.5,7.7,0.452,0.536,1.8,2,0.88,0.7,3.2,3.9,2.5,0.7,0.3,1.7,2,21.4,14,0.557,0.578,0.109,2.3,10.6,6.5,11.5,0.9,0.9,8,26.8,0.5,1,1.5,0.047,0.8,-2.2,-1.4,0.2,9,35.2,44,42.2,85.7,4.2,2.6,0,0.8,1.4,1.7,24.2,2,27.5,32.4,26.3,75,2.5,3,0,1,2.5,1,16.5,21,31.8,41.1,40.8,92.6,3.8,2.5,0.4,0.9,2,1.8,18.8,23.5,29.5,22,24
2/23/2023,GSW,LAL,Road,PF,Draymond Green,32,52,52,31.7,3.2,6.2,0.523,0.6,1.8,0.333,2.6,4.3,0.604,0.573,1.1,1.5,0.7,0.8,6.5,7.3,6.9,1,0.8,2.6,3,8.2,12.3,0.595,0.299,0.249,2.9,22.4,12.8,27.6,1.4,2.2,27.3,12.5,1.4,2,3.5,0.101,-1.5,2.5,1,1.2,9,32.1,57.6,33.3,57.1,7.2,7.3,0.7,1.2,2.9,3,9,2,29.5,53.8,33.3,100,6,7.5,0.5,1,2.5,2.5,8,23,31.3,58.2,33.3,69.2,6.6,6.8,0.5,1.1,3.3,2.9,8.8,8.5,23.5,6,23
2/23/2023,GSW,LAL,Road,PG,Jordan Poole,23,58,35,30.7,7.1,16.2,0.44,2.7,8,0.335,4.4,8.2,0.541,0.522,4,4.7,0.86,0.4,2.4,2.8,4.5,0.8,0.2,3.3,2.7,20.9,14.4,0.574,0.492,0.29,1.5,8.6,5.1,22.5,1.2,0.7,15.4,29.5,0.5,1.2,1.7,0.045,-0.2,-2,-2.2,-0.1,10,30.4,45,41.1,80.5,3.1,5.2,0.2,0.4,3.2,2.6,19.7,2,32.5,37.5,26.3,100,3.5,6.5,1,1.5,3,3.5,20.5,29,31.3,44.1,33.5,87.8,2.6,4.4,0.2,0.9,2.9,3.4,21.9,25.5,34.5,16,21
2/23/2023,GSW,LAL,Road,C,Kevon Looney,26,58,52,23.3,2.9,4.4,0.656,0,0,0,2.9,4.4,0.656,0.656,1.1,1.8,0.615,3,5.8,8.8,2.6,0.6,0.6,0.5,2.8,6.8,17.6,0.663,0,0.411,14.6,26.9,20.8,14.2,1.1,2.2,8.6,10.1,4.3,1.7,6,0.212,0.9,1.2,2.1,1.4,10,23.4,75.6,0,58.8,9.2,1.6,0.7,0.7,3.1,0.4,7.8,2,22,80,0,100,9.5,2,1,1.5,1.5,0,4.5,29,23.2,66.9,0,76.3,7.9,2.3,0.6,0.4,3,0.6,6.7,6.5,18.5,10,26
2/23/2023,LAL,GSW,Home,SF,LeBron James,38,45,45,36.3,11.5,22.6,0.508,2.2,7,0.31,9.3,15.7,0.596,0.556,4.8,6.4,0.762,1.1,7.3,8.4,7,1,0.6,3.2,1.6,30,24.9,0.59,0.307,0.281,3.4,20.8,12.4,33.7,1.2,1.3,11,33.2,3.2,1.8,5,0.147,5.8,0.6,6.5,3.5,6,37.2,51.5,34.9,72.7,8,6.8,0.2,0.7,1.8,3.3,30.2,1,35,46.2,30,100,15,8,0,0,2,5,31,22,35.9,50.8,31.6,71.2,8.1,7.4,0.7,1,1.5,2.5,28.9,27.5,41.5,13,30
2/23/2023,DET,ORL,Road,SF,Bojan Bogdanović,33,56,56,32.1,7.3,14.9,0.491,2.4,6,0.407,4.9,9,0.547,0.572,4.7,5.3,0.883,0.6,3.1,3.7,2.6,0.6,0.1,2.3,1.9,21.8,17.8,0.631,0.399,0.356,2,11,6.3,13.5,0.9,0.3,11.6,25.8,3.3,0.3,3.6,0.095,2.8,-1.9,0.9,1.3,10,35.3,49.1,33.3,88.3,3.8,2,0.3,0.5,2.4,2.4,23.1,2,35.5,40,46.7,87.5,4,3.5,0,0.5,3,1,19,29,31.2,50.3,40.1,88,4.2,2.7,0.1,0.5,1.5,2.3,21.2,22.5,28.5,7,14
2/23/2023,DET,ORL,Road,SG,Jaden Ivey,20,55,54,30.1,5.2,12.3,0.42,1.4,4.2,0.332,3.8,8.2,0.465,0.476,3.5,4.8,0.725,1,2.9,3.9,4.6,0.9,0.2,2.8,3.1,15.2,12.2,0.527,0.338,0.391,3.6,11.2,7.3,23.6,1.5,0.7,16.4,24.4,-0.4,0.6,0.2,0.005,-1.6,-1.5,-3.2,-0.5,10,29.3,46.4,39,73.2,3.2,5.4,0.3,0.9,3.6,2.8,15.9,2,30,40.9,40,87.5,4.5,4,0.5,2,3.5,2.5,13.5,29,29,42,33,69.7,3.6,4.1,0.1,0.8,3,2.8,14.5,14.5,23.5,25,31
2/23/2023,DET,ORL,Road,PG,Killian Hayes,21,55,36,26.7,3.8,10.2,0.372,1.2,3.9,0.305,2.6,6.3,0.413,0.43,0.8,1,0.792,0.3,2.4,2.7,5.8,1.3,0.3,2,3,9.5,10,0.448,0.379,0.094,1.4,10.2,5.7,32,2.4,1.1,15.8,20,-1.2,0.8,-0.4,-0.012,-3.3,-0.6,-3.9,-0.7,10,26.8,29.5,24.5,72.7,2.4,6,0.2,1.5,3.5,2.2,8.2,2,16,15.4,14.3,100,3.5,4,0.5,1.5,0.5,1,4,27,26.8,35.3,29.4,78.1,2.9,5.6,0.3,1.3,3.2,1.8,9.5,10.5,20.5,12,20
2/23/2023,ORL,DET,Home,PF,Paolo Banchero,20,52,52,33.7,6.5,15.5,0.419,1.2,4.2,0.281,5.3,11.3,0.469,0.457,5.7,7.6,0.753,1.2,5.5,6.6,3.6,0.9,0.5,2.7,2.3,19.9,15,0.527,0.269,0.487,4,18.4,11.2,16.7,1.4,1.4,12.6,27.7,-0.1,1.8,1.7,0.048,-0.7,-0.8,-1.5,0.2,10,33.3,35.4,11.1,70,7.9,3.2,0.5,0.6,1.8,2,16.2,2,33.5,50,0,80,7,3.5,1.5,0.5,5,3,21,25,33.4,42.1,26.9,77.3,7.2,3.8,0.3,0.7,2.3,2.6,20,20.5,31.5,11,23
2/23/2023,ORL,DET,Home,SF,Franz Wagner,21,58,58,33.2,6.9,14.2,0.484,1.7,4.5,0.366,5.2,9.7,0.539,0.542,3.4,4.2,0.83,0.9,3,3.9,3.5,0.9,0.2,2.1,2.3,18.9,15.9,0.588,0.317,0.292,3.2,10.3,6.8,17.1,1.4,0.6,11.7,23.8,2.3,1.5,3.8,0.095,0.5,-0.8,-0.3,0.9,10,32.9,42.6,32.5,64,3.5,3.7,0.1,1.1,2.7,2.5,12.7,2,31.5,45.5,30,85.7,5,4,0,0.5,1.5,3,19.5,28,33.4,51.1,36.3,87.3,3.9,4.1,0.2,0.8,1.9,1.9,19.9,17.5,25.5,21,27
2/23/2023,ORL,DET,Home,C,Wendell Carter Jr.,23,39,36,30.1,5.7,10.7,0.532,1.3,3.5,0.37,4.4,7.2,0.613,0.594,2.7,3.6,0.752,2,6.5,8.5,2.6,0.4,0.6,2.2,2.9,15.4,16.9,0.627,0.331,0.338,7.5,24.6,16.1,13.7,0.6,1.8,15.2,20.9,1.7,1.2,2.9,0.119,0.6,0,0.6,0.8,9,28.9,55.3,37.1,64.7,7.8,2.4,0.1,0.2,2.8,1.9,15.4,2,28.5,55.6,40,55.6,9.5,2,0.5,0.5,3,2,13.5,19,29.4,53.7,40.7,76.8,7.8,2.7,0.6,0.4,2.8,2.5,14.8,15.5,26.5,14,30
2/23/2023,ORL,DET,Home,PG,Markelle Fultz,24,38,38,29.2,5.4,10.8,0.501,0.4,1.3,0.3,5,9.4,0.529,0.52,1.8,2.4,0.767,1.3,2.8,4,5.5,1.5,0.4,2.3,2.1,13,16.1,0.551,0.122,0.22,5,10.8,7.9,29.2,2.5,1.3,16.6,21,0.8,1.2,2,0.087,-0.5,0.7,0.2,0.6,10,32.1,50,16.7,89.3,4.3,5,0.3,1.5,2.4,2.1,15.1,1,28,16.7,0,100,7,9,0,1,3,1,6,18,27.6,47.5,30.8,75.6,3.9,5,0.4,1.4,2.3,2.3,11.5,14.5,24.5,14,24
2/23/2023,MEM,PHI,Road,PG,Ja Morant,23,48,48,32.8,9.7,20.8,0.466,1.7,5.3,0.32,8,15.5,0.516,0.507,6.2,8.5,0.736,1.2,4.8,6,8.3,1,0.3,3.5,1.8,27.3,23.7,0.557,0.253,0.406,3.7,15.3,9.5,41.9,1.5,0.7,12.4,35,3.1,2.1,5.2,0.16,5.6,0.5,6.2,3.2,9,35.1,47.6,32.7,68.7,7.8,10,0.3,1.3,2.1,3.6,27.8,1,36,35.7,25,75,8,3,0,0,3,1,28,24,32.9,47.9,30.8,75.1,5.2,8.1,0.3,0.8,1.7,3.8,26.7,25.5,40.5,15,23
2/23/2023,MEM,PHI,Road,SG,Desmond Bane,24,35,35,31.2,7.5,16.1,0.465,3,7.1,0.427,4.5,9.1,0.495,0.559,3.4,3.8,0.902,0.7,4.2,4.9,4.2,1,0.4,2.2,2.5,21.5,19.2,0.603,0.439,0.235,2.2,14.2,8.2,20.2,1.5,1.1,11,26.3,2.1,1.5,3.6,0.159,3.5,0.3,3.9,1.6,8,32.1,48.8,42.6,88.9,4,4.1,0.8,1.6,2.6,2.3,20.9,,,,,,,,,,,,,17,31.4,45.3,41.9,89.9,5.8,4.1,0.4,0.8,2.6,2.1,21.3,20.5,28.5,25,35
2/23/2023,MEM,PHI,Road,SF,Dillon Brooks,27,52,52,30.5,5.6,14.3,0.391,1.8,5.8,0.312,3.8,8.5,0.444,0.454,1.8,2.3,0.788,0.6,2.7,3.3,2.6,0.8,0.2,1.5,3.4,14.8,9,0.483,0.406,0.159,2.1,9.2,5.6,11.8,1.3,0.6,9.1,22.6,-0.8,1.7,0.9,0.028,-3.9,-0.6,-4.5,-1,9,30.7,34.1,23.9,83.3,2.2,2,0.2,1,3.6,1.1,9.2,1,36,43.8,33.3,100,4,4,0,1,1,2,17,25,31.2,39.7,34.4,78.9,3.6,2.6,0.1,1,3.4,1.4,16.5,11.5,16.5,11,18
2/23/2023,MEM,PHI,Road,C,Jaren Jackson Jr.,23,40,40,27.2,6.1,12.1,0.502,1.6,4.4,0.356,4.5,7.7,0.584,0.566,3.3,4.2,0.775,1.7,5,6.7,0.9,1.1,3.3,1.6,3.4,16.9,21.8,0.608,0.361,0.351,6.7,19.1,12.9,4.7,1.9,10.8,10.2,23.3,1.7,2.5,4.2,0.186,0.9,2.9,3.7,1.6,9,30.1,50,29.8,76.3,6.8,0.7,3.3,1.3,4.1,1.6,19.4,1,26,58.3,40,85.7,9,0,4,1,5,3,22,18,26.4,48.3,36.6,80,6.4,0.9,2.1,0.7,3.4,1.8,15.7,15.5,23.5,18,28
2/23/2023,PHI,MEM,Home,SG,James Harden,33,41,41,36.4,6.5,14.5,0.451,2.8,7.2,0.389,3.7,7.3,0.513,0.548,5.5,6.4,0.863,0.5,5.6,6.2,10.8,1.2,0.6,3.4,2,21.4,22.5,0.619,0.498,0.443,1.7,18,9.9,45.1,1.6,1.5,16.4,25.3,4.4,1.9,6.3,0.204,5.3,0.6,5.9,3,10,35.3,46,40,84.8,5.6,10,0.6,0.9,1.5,2.7,21,23,37,44.9,39.9,81.9,6.4,11.2,0.6,1.3,2.1,3.4,21.7,23,37,44.9,39.9,81.9,6.4,11.2,0.6,1.3,2.1,3.4,21.7,21.5,38.5,31,45
2/23/2023,PHI,MEM,Home,C,Joel Embiid,28,45,45,34.9,11,20.5,0.537,1.1,3.1,0.355,9.9,17.4,0.57,0.564,9.9,11.6,0.858,1.8,8.4,10.2,4.1,1.2,1.5,3.5,3.2,33.1,30.6,0.646,0.153,0.564,6,27.9,17.1,22.3,1.6,4,12.1,37.2,5.3,2.8,8.1,0.246,6.3,2.1,8.4,4.1,10,35.4,55.7,39.3,84.7,11.5,3.8,1,1.5,2.6,3.3,32.1,1,41,50,33.3,88.9,11,8,3,1,4,3,35,26,35.3,53.9,35.8,88.8,10.5,4.4,1.7,1.2,3.1,3.5,34,32.5,47.5,27,52
2/23/2023,PHI,MEM,Home,PF,Tobias Harris,30,53,53,33.6,6.1,12.4,0.496,1.8,4.7,0.373,4.4,7.7,0.571,0.567,1.3,1.5,0.866,1,5,6,2.6,1,0.5,1.3,2,15.4,15,0.589,0.38,0.125,3.4,17.3,10.4,11.7,1.5,1.5,8.8,19,1.9,2.2,4.1,0.112,0.4,0.1,0.5,1.1,10,32.5,46.1,36.1,100,5,2.1,0.5,0.8,1.2,0.9,11.2,1,38,50,83.3,100,11,1,0,1,2,1,21,28,34.2,51.9,40.7,90,6.5,2.5,0.5,0.7,2,1.4,16.3,13.5,21.5,20,26
2/23/2023,PHI,MEM,Home,PG,Tyrese Maxey,22,38,22,32.8,7.1,15.6,0.455,2.3,5.9,0.394,4.8,9.7,0.493,0.53,3.2,4,0.808,0.4,2.4,2.8,3.6,0.8,0.1,1.5,2.1,19.8,16,0.569,0.381,0.255,1.6,8.5,5.1,17.7,1.3,0.4,7.8,25.6,1.5,1.1,2.6,0.099,0.5,-1.5,-1,0.3,10,29.2,43.9,37,78.9,2.5,2.9,0.1,0.7,2.3,1.1,15.5,,,,,,,,,,,,,21,33.3,44.5,39.7,77.5,2.5,4.3,0.1,1,2.2,1.6,19.3,17.5,23.5,16,22
2/23/2023,NOP,TOR,Road,SG,CJ McCollum,31,52,52,35,7.9,18.2,0.435,2.8,7.4,0.385,5.1,10.8,0.47,0.514,2.5,3.1,0.796,0.8,3.6,4.3,5.9,1,0.6,2.6,1.9,21.1,16.1,0.541,0.407,0.172,2.4,11.6,7,26.1,1.4,1.6,11.9,26.9,1.1,1.8,2.9,0.077,2,-0.7,1.3,1.5,8,34.4,47,36.2,86.2,3.6,6.5,0.5,0.9,2.9,2.1,20.8,,,,,,,,,,,,,24,35.3,42.3,35.1,77.9,4.3,5.4,0.6,0.9,2.1,2.8,20.4,20.5,30.5,23,32
2/23/2023,NOP,TOR,Road,SF,Brandon Ingram,25,24,24,32.2,8.1,17.3,0.469,1.5,3.8,0.407,6.5,13.5,0.486,0.513,4.7,5.4,0.876,0.5,4.5,5,4.9,0.8,0.5,3.3,2.5,22.4,17.5,0.571,0.22,0.312,1.6,15.8,8.7,24.4,1.1,1.5,14.4,30.3,0.4,0.8,1.2,0.077,1.1,-0.6,0.5,0.5,8,33.1,49.1,36,87.5,4.8,5.3,0.3,0.5,3.3,4.1,26.6,,,,,,,,,,,,,11,32.9,47.1,48.5,88.3,5.7,5,0.6,0.5,2.8,3.5,22.6,24.5,34.5,36,46
2/23/2023,NOP,TOR,Road,SG,Trey Murphy III,22,56,46,29.3,4.4,9.3,0.481,2.2,5.6,0.397,2.2,3.7,0.607,0.6,1.8,2,0.911,0.8,2.9,3.7,1.3,1,0.5,0.8,2.1,12.9,14.1,0.638,0.602,0.216,2.9,11.2,7,6,1.6,1.7,7.3,15.8,2.8,1.8,4.6,0.133,0.8,0.2,1,1.3,10,30.9,48.6,40.3,83.3,3.2,1,0.5,0.8,2.1,0.9,14.7,1,37,47.1,50,100,5,1,1,1,3,2,26,28,29.6,45.6,34.8,89.4,3.5,1.3,0.5,1.1,2.1,1,12,11.5,16.5,9,11
2/23/2023,NOP,TOR,Road,C,Jonas Valančiūnas,30,58,58,24.7,5.7,10.5,0.544,0.5,1.6,0.341,5.2,8.9,0.58,0.57,2.4,2.9,0.825,2.9,6.9,9.7,1.7,0.3,0.5,1.9,3.1,14.4,19.5,0.61,0.149,0.28,13,31.5,22.2,10.5,0.5,1.8,13.9,23.6,2.3,2,4.3,0.144,0.4,-0.9,-0.5,0.6,9,22.3,55.3,0,83.3,8.8,1.8,0.1,0.2,2.8,1.2,12.1,1,26,50,40,100,13,3,0,0,1,3,16,29,25.8,58.9,39,83.7,9.9,1.7,0.6,0.3,3,1.8,16.1,13.5,24.5,12,26
2/23/2023,TOR,NOP,Home,PF,Pascal Siakam,28,49,49,37.7,9.1,18.8,0.482,1.4,4.1,0.343,7.7,14.7,0.52,0.519,5.7,7.5,0.765,1.9,5.9,7.8,6.1,0.8,0.6,2.6,3.4,25.2,21,0.571,0.218,0.397,5.3,19.2,11.7,26.3,1.1,1.4,10.4,27.9,4,1.5,5.5,0.144,3.8,-0.5,3.3,2.5,10,38,49.7,44.7,76.4,5.9,4.5,0.2,0.9,3.8,2.2,25.3,1,34,56.3,50,80,6,4,2,2,3,5,23,26,37.4,49.3,42,74.9,7.7,6,0.5,0.8,3.4,2.5,25.4,24.5,36.5,26,35
2/23/2023,TOR,NOP,Home,SF,Scottie Barnes,21,56,55,35.2,6,13.2,0.457,0.9,3.1,0.301,5.1,10.1,0.505,0.493,2.6,3.4,0.768,2.4,4.8,7.1,4.9,1,0.9,2,2.2,15.6,16,0.531,0.234,0.257,7.2,16.6,11.5,20.1,1.4,2.4,12.2,20.2,2,1.8,3.8,0.094,0.9,-0.3,0.6,1.3,10,37.5,44.4,32.5,81.6,7.6,4.7,0.8,0.8,2.8,2,16.4,1,21,14.3,20,50,1,5,1,1,1,3,4,29,35.4,48.6,33,77.7,7.3,5.1,0.9,1.1,1.9,1.8,16.6,15.5,26.5,18,26
2/23/2023,SAC,POR,Home,C,Domantas Sabonis,26,55,55,34.6,7.1,11.6,0.611,0.4,1.2,0.348,6.7,10.4,0.641,0.629,4.2,5.5,0.764,3,9.3,12.3,6.9,0.8,0.5,2.9,3.7,18.8,23,0.67,0.104,0.479,10,30.5,20.4,28.9,1.2,1.1,17,21,6.5,2.2,8.7,0.219,3.6,1.8,5.4,3.6,10,35.7,63,25,82,11.7,5,0.5,1.2,4.3,2.5,20.4,1,33,50,0,50,4,5,1,1,6,3,13,28,34.6,61,44.4,78.5,11.9,7.8,0.4,0.9,3.7,3.4,18,20.5,39.5,18,46
