Date,Team,Opponent,Place,Position,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,L10 GP,L10 MIN,L10 FG%,L10 3P%,L10 FT%,L10 REB,L10 AST,L10 BLK,L10 STL,L10 PF,L10 TO,L10 PTS,VsOpp GP,VsOpp MIN,VsOpp FG%,VsOpp 3P%,VsOpp FT%,VsOpp REB,VsOpp AST,VsOpp BLK,VsOpp STL,VsOpp PF,VsOpp TO,VsOpp PTS,Place GP,Place MIN,Place FG%,Place 3P%,Place FT%,Place REB,Place AST,Place BLK,Place STL,Place PF,Place TO,Place PTS,Points O/U line,PRA O/U line,Actual Points,Actual PRA,Points Result,PRA Result
2/23/2023,BOS,IND,Road,SF,Jayson Tatum,24,55,55,37.3,9.9,21.4,46.4,3.3,9.3,35.7,6.6,12.1,54.7,54.2,7.4,8.6,86.4,1,7.6,8.6,4.5,1,0.8,2.9,2.2,30.6,24,60.8,0.435,0.401,3.1,21.9,12.7,20.6,1.4,1.8,10.3,32.9,4.9,3.1,7.9,0.186,5,0.5,5.5,3.9,9,38.1,44.3,38.3,86.1,8.8,5.1,1,1,2.3,3.3,28.6,1,41,52,36.4,84.6,5,4,1,2,0,2,41,26,37.4,45.7,36.4,86.4,8.5,4.8,0.8,0.8,2,3.3,29.7,29.5,42.5,31,50,Over,Over
2/23/2023,BOS,IND,Road,SG,Jaylen Brown,26,48,48,35.6,9.9,20.2,48.7,2.5,7.6,33.1,7.3,12.6,58.2,54.9,4.3,5.5,77.9,1.2,5.8,7,3.2,1.1,0.5,3,2.7,26.5,19.2,58.5,0.377,0.27,3.7,17.7,10.8,15.6,1.5,1.1,11.8,31.6,1.2,2.3,3.5,0.099,1.6,-0.4,1.3,1.4,5,33.8,44,28.9,71.9,6.2,3,0.2,1,2.4,2.4,23.2,1,36,34.8,20,100,10,2,0,1,1,4,19,21,35.7,47.5,36.5,74.5,7.1,3.3,0.6,1.2,2.9,2.9,25.4,25.5,34.5,30,44,Over,Over
2/23/2023,GSW,LAL,Road,SG,Klay Thompson,32,46,46,32.8,7.7,18.3,42.1,4.2,10.6,39.8,3.5,7.7,45.2,53.6,1.8,2,88,0.7,3.2,3.9,2.5,0.7,0.3,1.7,2,21.4,14,55.7,0.578,0.109,2.3,10.6,6.5,11.5,0.9,0.9,8,26.8,0.5,1,1.5,0.047,0.8,-2.2,-1.4,0.2,9,35.2,44,42.2,85.7,4.2,2.6,0,0.8,1.4,1.7,24.2,2,27.5,32.4,26.3,75,2.5,3,0,1,2.5,1,16.5,21,31.8,41.1,40.8,92.6,3.8,2.5,0.4,0.9,2,1.8,18.8,23.5,29.5,22,24,Under,Under
2/23/2023,GSW,LAL,Road,PF,Draymond Green,32,52,52,31.7,3.2,6.2,52.3,0.6,1.8,33.3,2.6,4.3,60.4,57.3,1.1,1.5,70,0.8,6.5,7.3,6.9,1,0.8,2.6,3,8.2,12.3,59.5,0.299,0.249,2.9,22.4,12.8,27.6,1.4,2.2,27.3,12.5,1.4,2,3.5,0.101,-1.5,2.5,1,1.2,9,32.1,57.6,33.3,57.1,7.2,7.3,0.7,1.2,2.9,3,9,2,29.5,53.8,33.3,100,6,7.5,0.5,1,2.5,2.5,8,23,31.3,58.2,33.3,69.2,6.6,6.8,0.5,1.1,3.3,2.9,8.8,8.5,23.5,6,23,Under,Under
2/23/2023,GSW,LAL,Road,PG,Jordan Poole,23,58,35,30.7,7.1,16.2,44,2.7,8,33.5,4.4,8.2,54.1,52.2,4,4.7,86,0.4,2.4,2.8,4.5,0.8,0.2,3.3,2.7,20.9,14.4,57.4,0.492,0.29,1.5,8.6,5.1,22.5,1.2,0.7,15.4,29.5,0.5,1.2,1.7,0.045,-0.2,-2,-2.2,-0.1,10,30.4,45,41.1,80.5,3.1,5.2,0.2,0.4,3.2,2.6,19.7,2,32.5,37.5,26.3,100,3.5,6.5,1,1.5,3,3.5,20.5,29,31.3,44.1,33.5,87.8,2.6,4.4,0.2,0.9,2.9,3.4,21.9,25.5,34.5,16,21,Under,Under
2/23/2023,GSW,LAL,Road,C,Kevon Looney,26,58,52,23.3,2.9,4.4,65.6,0,0,0,2.9,4.4,65.6,65.6,1.1,1.8,61.5,3,5.8,8.8,2.6,0.6,0.6,0.5,2.8,6.8,17.6,66.3,0,0.411,14.6,26.9,20.8,14.2,1.1,2.2,8.6,10.1,4.3,1.7,6,0.212,0.9,1.2,2.1,1.4,10,23.4,75.6,0,58.8,9.2,1.6,0.7,0.7,3.1,0.4,7.8,2,22,80,0,100,9.5,2,1,1.5,1.5,0,4.5,29,23.2,66.9,0,76.3,7.9,2.3,0.6,0.4,3,0.6,6.7,6.5,18.5,10,26,Over,Over
2/23/2023,LAL,GSW,Home,SF,LeBron James,38,45,45,36.3,11.5,22.6,50.8,2.2,7,31,9.3,15.7,59.6,55.6,4.8,6.4,76.2,1.1,7.3,8.4,7,1,0.6,3.2,1.6,30,24.9,59,0.307,0.281,3.4,20.8,12.4,33.7,1.2,1.3,11,33.2,3.2,1.8,5,0.147,5.8,0.6,6.5,3.5,6,37.2,51.5,34.9,72.7,8,6.8,0.2,0.7,1.8,3.3,30.2,1,35,46.2,30,100,15,8,0,0,2,5,31,22,35.9,50.8,31.6,71.2,8.1,7.4,0.7,1,1.5,2.5,28.9,27.5,41.5,13,30,Under,Under
2/23/2023,DET,ORL,Road,SF,Bojan Bogdanović,33,56,56,32.1,7.3,14.9,49.1,2.4,6,40.7,4.9,9,54.7,57.2,4.7,5.3,88.3,0.6,3.1,3.7,2.6,0.6,0.1,2.3,1.9,21.8,17.8,63.1,0.399,0.356,2,11,6.3,13.5,0.9,0.3,11.6,25.8,3.3,0.3,3.6,0.095,2.8,-1.9,0.9,1.3,10,35.3,49.1,33.3,88.3,3.8,2,0.3,0.5,2.4,2.4,23.1,2,35.5,40,46.7,87.5,4,3.5,0,0.5,3,1,19,29,31.2,50.3,40.1,88,4.2,2.7,0.1,0.5,1.5,2.3,21.2,22.5,28.5,7,14,Under,Under
2/23/2023,DET,ORL,Road,SG,Jaden Ivey,20,55,54,30.1,5.2,12.3,42,1.4,4.2,33.2,3.8,8.2,46.5,47.6,3.5,4.8,72.5,1,2.9,3.9,4.6,0.9,0.2,2.8,3.1,15.2,12.2,52.7,0.338,0.391,3.6,11.2,7.3,23.6,1.5,0.7,16.4,24.4,-0.4,0.6,0.2,0.005,-1.6,-1.5,-3.2,-0.5,10,29.3,46.4,39,73.2,3.2,5.4,0.3,0.9,3.6,2.8,15.9,2,30,40.9,40,87.5,4.5,4,0.5,2,3.5,2.5,13.5,29,29,42,33,69.7,3.6,4.1,0.1,0.8,3,2.8,14.5,14.5,23.5,25,31,Over,Over
2/23/2023,DET,ORL,Road,PG,Killian Hayes,21,55,36,26.7,3.8,10.2,37.2,1.2,3.9,30.5,2.6,6.3,41.3,43,0.8,1,79.2,0.3,2.4,2.7,5.8,1.3,0.3,2,3,9.5,10,44.8,0.379,0.094,1.4,10.2,5.7,32,2.4,1.1,15.8,20,-1.2,0.8,-0.4,-0.012,-3.3,-0.6,-3.9,-0.7,10,26.8,29.5,24.5,72.7,2.4,6,0.2,1.5,3.5,2.2,8.2,2,16,15.4,14.3,100,3.5,4,0.5,1.5,0.5,1,4,27,26.8,35.3,29.4,78.1,2.9,5.6,0.3,1.3,3.2,1.8,9.5,10.5,20.5,12,20,Over,Under
